a,aaab
b,bbbb
c,cccb
d,dddb
ab,babb
ac,cacc
ad,dadd
ba,abaa
bc,cbcc
bd,dbdd
ca,acaa
cb,bcbb
cd,dcdd
da,adaa
db,bdbb
dc,cdcc
abc,cbac
abd,dbad
acb,bcab
acd,dcad
adb,bdab
adc,cdac
bac,cabc
bad,dabd
bca,acba
bcd,dcbd
bda,adba
bdc,cdbc
cab,bacb
cad,dacd
cba,abca
cbd,dbcd
cda,adca
cdb,bdcb
dab,badb
dac,cadc
dba,abda
dbc,cbdc
dca,acda
dcb,bcdb
abcd,dcba
abdc,cdba
acbd,dbca
acdb,bdca
adbc,cbda
adcb,bcda
bacd,dcab
badc,cdab
bcad,dacb
bcda,adcb
bdac,cadb
bdca,acdb
cabd,dbac
cadb,bdac
cbad,dabc
cbda,adbc
cdab,badc
cdba,abdc
dabc,cbad
dacb,bcad
dbac,cabd
dbca,acbd
dcab,bacd
dcba,abcd
